Tag,SpeciesNam,DBH,treeXCoord,treeYCoord,treeID,i_mn_fr,h_max,i_mn_sn,i_mean,h_mn_sn,P50h,P90h,h_mean,h_75nrm,i_cv,i_p25,i_p50,i_iq,ndgi,src,si,b2norm,avi,rr,ndwi,ndvi,b4norm
"41494",Cinnamomum ilicioides,61.500000000000000,754997.700010000029579,1597875.899990000063553,"1380",118.503883823032766,26.548000000000002,161.460117548278760,84.418451969592255,18.592951301427373,17.327500000000001,24.237000000000002,15.490478230822392,0.848001804579119,78.252725213707052,28.000000000000000,68.000000000000000,96.000000000000000,-0.08540,3.31526,0.96849,0.24225,0.33209,6.92386,0.33161,0.74760,0.11407
"44281",Cinnamomum ilicioides,62.000000000000000,755049.000000000000000,1597699.100009999936447,"455",134.459335373852213,36.588000000000001,186.091021928009923,86.482157359193621,27.470051717004552,23.757000000000001,33.216799999999999,22.378780728992499,0.837330353736306,85.931361178344417,24.000000000000000,64.000000000000000,106.000000000000000,-0.08828,3.64797,0.96920,0.21822,0.30247,6.08321,0.32549,0.71764,0.12625
"45466",Cinnamomum ilicioides,61.700000000000003,755079.000000000000000,1597866.000000000000000,"1818",133.851340796667529,20.516000000000002,187.685306365258782,98.305429259160206,14.436917906008329,12.132000000000000,17.733200000000000,10.945547338860658,0.766557723733538,81.467035564920479,30.000000000000000,79.000000000000000,118.000000000000000,-0.07036,4.22283,0.97024,0.19386,0.34513,7.86992,0.38369,0.77452,0.10269
"16236",Cinnamomum subavenium,57.500000000000000,754495.300000000046566,1597679.399990000063553,"810",184.706030150753776,31.864000000000001,241.392045454545467,121.444120287253142,26.568022727272727,24.807000000000002,29.702999999999999,21.705186938958708,0.877039954980304,80.790888406791836,33.000000000000000,91.000000000000000,173.000000000000000,-0.02415,3.57333,0.96417,0.27897,0.34708,6.97877,0.38132,0.74933,0.11196
"16239",Cinnamomum subavenium,58.799999999999997,754486.800000000046566,1597687.000000000000000,"493",151.142255955512127,36.718000000000004,233.956652618904286,99.391863896038672,24.734480433473813,25.577000000000002,31.903000000000002,22.212739217778896,0.800075473732446,90.357871699754227,28.000000000000000,70.000000000000000,116.000000000000000,-0.03319,3.40884,0.96604,0.24260,0.33206,6.76349,0.34448,0.74238,0.11495
"17335",Cinnamomum subavenium,55.299999999999997,754516.599999999976717,1597809.200010000029579,"193",158.463576158940384,42.247000000000000,240.981643356643360,110.472484573731265,21.937562062937065,19.646000000000001,31.720000000000002,19.397727616169249,0.681303116147309,90.510474716040747,33.000000000000000,80.000000000000000,141.000000000000000,-0.04632,2.73836,0.96721,0.21467,0.33350,6.95173,0.29636,0.74848,0.11283
"18310",Cinnamomum subavenium,52.200000000000003,754533.599999999976717,1597794.399990000063553,"302",174.277352432699445,39.771999999999998,253.188519243313777,122.939419691635308,27.718925636007828,17.664999999999999,35.999000000000002,19.132981910889889,0.797123921470551,81.814097800530959,35.000000000000000,92.000000000000000,169.000000000000000,-0.07607,2.73795,0.96796,0.22167,0.30422,5.98418,0.25876,0.71364,0.12751
"19172",Cinnamomum subavenium,52.700000000000003,754544.099999999976717,1597614.000000000000000,"954",148.668518107087323,30.269000000000002,218.983391608391599,99.152858703568825,20.580803321678321,20.326500000000003,26.548000000000002,18.045667971595048,0.790181507299750,88.618433224402366,28.000000000000000,71.000000000000000,121.000000000000000,-0.05495,3.13299,0.96475,0.26906,0.33063,6.37374,0.33798,0.72877,0.12093
"19363",Cinnamomum subavenium,66.700000000000003,754554.400000000023283,1597845.700010000029579,"611",200.991938084488879,34.488999999999997,257.418139669660945,141.200346525624667,24.850905244856563,20.059500000000000,32.060000000000002,19.031915101221959,0.823635471959382,75.559367672554956,39.000000000000000,115.000000000000000,202.000000000000000,-0.02457,4.49051,0.96796,0.23786,0.37034,8.62179,0.42719,0.79214,0.09457
"20063",Cinnamomum subavenium,62.100000000000001,754565.900000000023283,1597622.300000000046566,"1473",171.997021276595746,25.709000000000000,245.498871331828440,119.447670901391405,18.968670428893905,17.366000000000000,22.378000000000000,15.865299657188949,0.806768685194465,81.619942319554511,37.000000000000000,90.000000000000000,160.000000000000000,-0.06886,3.29571,0.96681,0.24501,0.33819,6.89819,0.34567,0.74678,0.11403
"23207",Cinnamomum subavenium,54.000000000000000,754643.000000000000000,1597463.800000000046566,"1819",192.629061371841146,35.323000000000000,320.961643835616428,141.024919614147905,8.222150684931506,3.484500000000000,17.246000000000002,6.900017282958199,0.363573975549015,97.753362693226748,35.000000000000000,91.000000000000000,175.000000000000000,-0.06601,2.89280,0.96565,0.23318,0.32270,6.21729,0.30765,0.72289,0.12356
"24498",Cinnamomum subavenium,66.000000000000000,754650.000000000000000,1597454.500000000000000,"722",144.863852556480367,32.917999999999999,216.102687801516197,97.592346233586724,23.700204686423156,21.389499999999998,29.728500000000000,20.549695749827229,0.845549540285507,86.481189695611278,28.000000000000000,71.000000000000000,123.000000000000000,-0.12587,3.15350,0.96987,0.18861,0.30482,6.09221,0.28885,0.71800,0.12709
